nctId,description,durationMonths
NCT06475872,"This study is to compare and evaluate the safety and pharmacokinetic characteristics of Hanlim Pharm. Co., Ltd.'s ""Crecheck Tablet 2.5 mg (Rosuvastatin Calcium)"" as the test drug and AstraZeneca Korea Co., Ltd.'s ""Crestor Tablet 5 mg (Rosuvastatin Calcium)"" as the reference drug in healthy adults.",0.5666666666666667
NCT06473402,"Flexibility is the ability of the muscle to move in a single or a series of joint planes within an unrestricted range of motion. Muscle flexibility is an important element of muscle functionality and has a very important place in ensuring the biomechanical function of the muscle. One of the advantages of flexibility in the context of literature is its ability to enhance athletic performance, decrease the likelihood of injury, alleviate or minimize post-exercise discomfort, and improve coordination. Furthermore, it serves as a crucial aspect for injury prevention and rehabilitation. Limited flexibility causes the person to be prone to various musculoskeletal system overuse injuries and significantly affects functionality. Flexibility is different for each muscle. This difference depends on the adaptation of the muscle to the stresses placed on the muscle. Decreased flexibility is usually seen in fast-twitch muscles that span two joints. Hamstring muscles are a typical example of this. In normal daily activities, the physiological amplitudes of the hamstring muscles are rarely fully realized. For this reason, hamstring muscles are one of the muscle groups that tend to shorten. Hamstring shortness occurs in almost all populations worldwide, in both symptomatic and asymptomatic individuals. The causes of hamstring shortness include genetic factors, adaptation of the muscle to acute or chronic injury, sitting in a sitting position for a long time, etc. countable. Some studies have stated that decreased hamstring flexibility may cause patellar tendinopathy, patellofemoral pain, hamstring strain, and muscle damage after eccentric exercise.Therefore, the flexibility of the hamstring muscles must be maintained. Flexible hamstrings can prevent acute and chronic musculoskeletal injuries, low back pain, posture deviations, gait limitations and the risk of falls. Stretching exercises are often performed to increase hamstring flexibility . There are also different methods to increase hamstring flexibility. A widely used approach is manual therapy. According to Greenman, this method can strengthen weak muscles by restoring their normal length when they are shortened, contracted, or affected by spasticity. In addition, manual therapy can help reduce edema by promoting the lymphatic system's pumping action. This approach also enhances the mobility of joints with limited movement.

Another alternative method is massage application. Massage is believed to increase blood flow to the muscles and increase muscle temperature, thus improving performance. In addition to the effects mentioned above, massage is believed to reduce the risk of injury by increasing flexibility and reducing stiffness.

The rate of use of massage guns has increased significantly, especially in recent years, by athletes, coaches and physiotherapists. Perhaps the most important reasons why it is so popular are that it helps to increase sports performance and increase the level of flexibility. According to the literature, applying the sacroiliac joint muscle energy technique and percussion massage to the hamstring muscle has been shown to increase hamstring flexibility. However, there is no study available that compares the immediate effects of applying the sacroiliac joint muscle energy technique versus percussion massage on hamstring shortness. Therefore, the aim of our study is to compare the instant effects of sacroiliac joint muscle energy technique and percussion massage applications on hamstring flexibility.",0.6333333333333333
NCT06477575,"To scientifically demonstrate the improvements in cognitive functions and core symptoms of children and adolescents diagnosed with ADHD through the implementation of a cognitive rehabilitation program based on the use of the most relevant technologies found in the systematic review carried out during the first phase.

Two intervention groups will be randomly assigned for the study:

G1: composed of 20 patients who will receive neurocognitive therapy based on new technologies. This will be the experimental group.

G2: composed of 20 patients who will receive conventional neurocognitive therapy for ADHD treatment. This group will be the control group",0.6333333333333333
NCT06470724,"Autism Spectrum Disorder (ASD) is a brain development disorder marked by issues in two main areas: communication and interacting with others; as well as rigid, repetitive, and stereotypical behaviors, hobbies, or activities. Autism Spectrum Disorder (ASD) is becoming more common every year, making it a major concern for most parents around the world, including those in Indonesia. One of the areas in Indonesia, Yogyakarta, also has to deal with this problem.

Studies have shown that a lot of kids with autism are afraid of things that don't make sense. Sensory issues are common in kids with ASD, which makes it hard for them to handle the sounds and sights in the dentist's office. As a result, these kids often show more behavioral problems, too much worry, and bad behavior at the dentist's office, which makes it very hard for the dentists to do exams and provide oral care. Researchers also think that this refusal to cooperate makes parents hesitant to take their autistic children to the dentist for regular checkups or treatments. This means that these kids don't get the dental care they need and have bad mouth health. Also, many studies show that kids with ASD are more likely than kids in the general population to have cavities, bad oral health, and periodontal disease.

To help people with behavior problems, you need to know about their other health problems, the type of ASD they have, any previous treatment they've had, their behavior, their social and communication skills, the medicines they take to control their behavior, any learning disabilities or mental retardation they may have, their heightened sensory perceptions, and their inability to apply what they have learned in other situations.

Notably, visual pedagogy is a structural-visual behavior method that is often used with kids who have ASD. People in Indonesia have looked into how to help kids with autism understand dental checks by using visual aids. However, these tests were not done in real centers with lots of kids and long wait times. With this and other reasons in mind, this study used a visual-structural method to help Indonesian kids with autism during dental checks. What they learned about kids and their families led them to make changes. The information can help dentists handle kids with ASD and guess how they will act during dental exams.

The intervention comprised seven behavior approaches in this research defined as follows:

A successive approach: An approach to familiarization with the unfamiliar environment of the simulated dental office.

Tell-Feel-Show-Do (T-F-S-D): A dental approach explained to the patient's treatment by telling the patient what would happen, what he felt or did, and what had been done.

Visual pedagogy: Introduced dentistry to autistic children through visual media, such as pictures and photographs.

Audiovisual modeling: A learning process through audiovisual media, such as video and animation.

In-vivo modeling: Learning new activities by watching them in front of the model.

Behavioral trials: A learning strategy conducted through practicing the recent activity by him/herself.

Auto-modeling: A learning process following the activity of editing pictures during the prior visit of the patient.",6.7
NCT06470464,"Thalidomide (THD) is currently widely used in the treatment of immune rheumatic diseases, blood tumors and solid tumors. Solid tumors are mostly used in the treatment of lung cancer, liver cancer, stomach cancer, colorectal cancer, pancreatic cancer, etc., and are limited to patients with advanced or advanced tumors. The main mechanisms of its action are inhibition of angiogenesis, immune regulation, induction of apoptosis, target teratogenesis and so on. However, whether from animal experiments or clinical studies, thalidomide alone or in combination with chemotherapy has not been seen to have a very effective therapeutic effect or exact clinical application in the treatment of these solid tumors.

According to the latest relevant case analysis reports and clinical trial results abroad, TIP regimen is still the priority recommended treatment regimen in the previous data for children with recurrent and refractory malignant germ cell tumors. However, the combination of Sirolimus and TIC regimen (nab-paclitaxel + isocyclophosphamide + carboplatin) previously explored by our research group can greatly improve the remission rate of recurrent and refractory germinal cell tumors, especially for recurrent and refractory yolk sac tumors, a certain proportion can be cured or the opportunity for surgery and radiotherapy can be obtained to achieve cure. However, there are still some children who are insensitive or progress again after 2 cycles of remission. For these children with multiple relapsed or particularly difficult yolk sac tumors, there is no effective treatment plan in the world at present, and there is no relevant clinical trial. However, through our clinical experience and understanding in the treatment process of these children, The results of thalidomide combined with TGA chemotherapy regimen (nab-paclitaxel + gemcitabine + epirubicin) were satisfactory. Therefore, we hope to evaluate the therapeutic effectiveness and adverse reactions of this regimen through clinical trials, so as to provide an effective treatment option for children with recurrent and refractory yolk sac tumor.

This paper is the first one to report the treatment combining thalidomide with nab-paclitaxel, gemcitabine, and epirubicin (T-TGA) for children with repeated relapsed or refractory yolk sac tumor (rrrYST).",31.6
NCT06479538,"The main objective of this study is to apply post isometric relaxation and post facilitation stretching techniques and to compare the results to identify their influence on pain, range of motion and functional disability on quadratus lumborum tightness in young fast bowlers.",5.3
NCT06478511,"Patient's selection:

Patients in this study will be selected from the outpatient clinic of Oral Medicine and Periodontology department, Faculty of Dentistry, Mansoura University.

Patients participating in this study will sign an informed consent demonstrating the purpose of this study, treatment procedure, probable risks and benefits from this treatment procedure. The study proposal will be reviewed by the faculty's Research Ethics Committee.

All the selected patients will receive full mouth scaling, preoperative periapical x-ray and cone beam computed.

Surgical procedures:

Before surgery, Preoperative antibiotics will be given orally one hour prior to surgery (amoxicillin, 2g, or clindamycin, 600 mg, for patients allergic to penicillin) the patients will be advised to rinse for one minute with chlorhexidiene mouthwash. After local anesthesia administration, In group 1, the teeth will be extracted gently using periotomes, in an attempt to preserve facial and lingual bone plates. The sockets will be debrided of soft tissue and irrigated. Then all walls of the socket will be inspected and checked for the presence of fenestration or dehiscence defects in bone. The length and width of extracted roots will be measured to determine the length and diameter of implants placed. The osteotomy sites will be prepared and the drills will be used in proper sequence according to manufacturer's instructions, with maximum use of bone apical to the extraction sockets. The drills will extend 3 to 5 mm beyond the apex of the socket to ensure primary stability after placement, taking care of the anatomical boundaries. After the osteotomy sites had been prepared, the implants will be placed.

In group 2, concerning the donor site of the connective tissue, connective tissue graft was harvested from palate using trap door technique (27) utilizing a horizontal incision 3-4 mm away from the gingival margin with two vertical incisions on the either end of the first incision, creating a door, the door is then undermined and opened using a sharp dissection, the underlying connective tissue is then harvested using a periosteal elevator, and the door was then sutured using 4 0 silk sutures Finally, the connective tissue graft was immediately placed into the recipient site after a tunneling procedure and sutured with 6-0 nonresorbable monofilament sutures.

In group 3, the crown of the involved tooth will be removed and the root will be then sectioned in a mesiodistal direction along its long axis as far apical as was possible using a long shank fissure bur coupled to a hydrated high-speed handpiece. Sectioning will divide the tooth root into facial and palatal halves with the intention of preserving the facial root section unmanipulated and attached to the tooth socket. Periotomes will be then inserted between the palatal root section and the alveolar socket wall to sever the PDL and this section of root will be then carefully delivered with so as not to disturb the facial root section.

The remaining root section will be then reduced coronally to 1 mm above the alveolar crest, and will be thinned slightly to a concave contour by careful application in an apico-coronal and mesiodistal direction with a long shanked round diamond. The tooth socket's palatal wall and apex will be then curetted to remove any tissue or infective remnants and the root section will be checked for immobility with a sharp probe. With the preparation steps complete, the tooth root hereafter will be known as the socket-shield. An osteotomy will be then sequentially prepared and internal conical connection implant was inserted palatal to the socket shield with the implant 2 mm below the facial crest.

Immediate temporary dentures were fabricated using plastic and inserted on the day of implantation. Patients were instructed to consume soft food for eight weeks. Following a healing period of 6 months, the final restorations will be delivered.",33.63333333333333
NCT06470412,"The study ""Personalized Management of Autoimmune Diseases with AI-Guided (GenAIS TM) Dietary Supplementation"" investigated the effectiveness of AI-guided dietary supplement (DS) prescriptions compared to standard physician-guided prescriptions in managing autoimmune diseases. This 6-month randomized controlled trial included 160 participants with conditions like rheumatoid arthritis, lupus, and multiple sclerosis. Participants were divided into two groups: one received DS based on physician judgment, and the other based on GenAIS AI system analysis. Primary outcomes focused on changes in disease activity, while secondary outcomes included quality of life, metabolic markers, and DS adherence. Data collection involved genetic, metabolic, and clinical profiling, with ethical considerations ensuring participant confidentiality and informed consent",16.1
NCT06478615,"Fistula-in-ano is a common medical problem affecting thousands of patients annually. Symptoms generally affect quality of life significantly, and they range from minor discomfort and drainage with resultant hygienic problems to sepsis. Different classifications have been put forward which categorize these Fistula into low or high simple or complex, or according to their anatomy inter-sphincteric, trans-sphincteric, and supra- sphincteric or extra-sphincteric.

Conventional laying-open technique in high perianal fistula may involve sacrifice of part or whole of the sphincter muscle impairing continence. A transposition technique for the management of high anal and anorectal fistulae is described by Mann and Clifton in 1985. The method involves re-routing the extrasphincteric portion of the track into an intersphincteric position with immediate repair of the external sphincter.

Coring-out fistulectomy is a type of sphincter-preserving procedure that enables accurate resection of the fistula tract alone and thus reduces the possibility of missing a secondary tract",15.233333333333333
NCT06482723,"The product mGlobal L+AS is a dermal filler manufactured by mesoestetic Pharma Group s.l. It was intended to be used as a temporary filler to correct small skin defects, such as wrinkles or scars. In particular, it was recommended for the treatment of wrinkles around the lip.

mGlobal L+AS for the facial area is a sterile, injectable, gel colourless, transparent, non-pyrogenic, reabsorbable product containing cross-linked hyaluronic acid of non-animal origin, produced via bacterial fermentation.

This clinical investigation was conducted as an uncontrolled - no comparator was used. The safety and performance of the treatment were evaluated by comparison of the condition with the state of the treated area before initiation of the procedure, conducted by the trained Principal Investigator.

The investigated product mGlobal L+AS was applied by intradermal or subcutaneous injection by the investigator during Session 1 for all subjects and Session 2 for the subjects, for whom a touch-up was considered beneficial. Both sessions were conducted within 14-day intervals.

The evaluation process during the medical examination was facilitated by photographic evidence taken before and after therapy at predetermined time points for reference.",17.266666666666666
