nctId,status,studyType
NCT06483009,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06474598,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06479200,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06480760,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06470867,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06480019,RECRUITING,INTERVENTIONAL
NCT06477588,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06470308,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06479980,RECRUITING,INTERVENTIONAL
NCT06479083,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06475274,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06474936,RECRUITING,INTERVENTIONAL
NCT06474520,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06482970,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06477926,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06483048,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06480721,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06479304,RECRUITING,INTERVENTIONAL
NCT06479187,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06472661,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06480799,ACTIVE_NOT_RECRUITING,INTERVENTIONAL
NCT06475235,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06474832,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06476730,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06477822,RECRUITING,INTERVENTIONAL
NCT06473532,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06472323,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06471348,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06478186,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06477224,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06482788,RECRUITING,INTERVENTIONAL
NCT06475560,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06474234,RECRUITING,INTERVENTIONAL
NCT06471036,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06479369,ACTIVE_NOT_RECRUITING,INTERVENTIONAL
