,nctId,status,startDate,completionDate,description,condition,studyType,phases,enrollment,allocation,interventionModel,primaryPurpose,interventions,primaryOutcomes,eligibilityCriteria,location
0,NCT06470100,NOT_YET_RECRUITING,2024-07-01,2025-09-30,,,INTERVENTIONAL,['PHASE4'],90.0,RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'DRUG', 'name': '0.9% Sodium Chloride Injection', 'description': 'unilateral administration of 20ml of 0,2% ropivacaine + 2ml 0.9% sodium chloride for the erector spine plane block', 'armGroupLabels': ['Control group'], 'otherNames': ['placebo erector spinae plane block']}, {'type': 'DRUG', 'name': 'Dexamethasone', 'description': 'unilateral administration of 20ml of 0,2% ropivacaine with 4mg Dexamethasone for the erector spine plane block', 'armGroupLabels': ['Dexamethasone'], 'otherNames': ['erector spinae plane block']}, {'type': 'DRUG', 'name': 'Dexmedetomidine', 'description': 'unilateral administration of 20ml of 0,2% ropivacaine with 50ug Dexmedetomidine for the erector spine plane block', 'armGroupLabels': ['Dexmedetomidine'], 'otherNames': ['erector spinae plane block']}]","[{'measure': 'first need of opiate', 'description': 'Time after surgery when the patient needs opiate for the first time', 'timeFrame': '48 hours after surgery'}]","Inclusion Criteria:

* patients undergoing primary hip arthroplasty
* aged \>18 years and \<100 years
* ASA physical status 1, 2 or 3.

Exclusion Criteria:

* if they refused to participate,
* had a history of opioid abuse,
* had an infection of the site of needle puncture,
* were less than 18 years of age,
* were postponed as having ASA 4 or 5,
* had an allergy to any of the drugs used in the study,
* renal failure (estimated glomerular filtration rate \<15ml/min/1.73m2),
* liver failure,
* known or suspected coagulopathy,
* pre-existing anatomical or neurological disorders in the lower extremities,
* intellectual disability with problems in pain evaluation,
* severe psychiatric illness.",
1,NCT06470113,NOT_YET_RECRUITING,2024-09,2026-11,,,INTERVENTIONAL,['NA'],164.0,RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'DEVICE', 'name': 'simultaneous cognitive training with transcranial magnetic stimulation', 'description': 'simultaneous cognitive training with transcranial magnetic stimulation can enhance the therapeutic effect and improve brain function non-invasively.', 'armGroupLabels': ['simultaneous cognitive training with active transcranial magnetic stimulation group', 'simultaneous cognitive training with sham transcranial magnetic stimulation group']}]","[{'measure': 'Clinical Global Impression Scale', 'description': 'Evaluate the improvement of clinical symptoms', 'timeFrame': '1-12 weeks'}]","Inclusion Criteria:

Male or female VaD-MCI patients between the ages of 50-85; The psychological evaluation was in accordance with MMSE score of 18-26 (including 18 and 26) and CDR score of 0.5.

The inclusion criteria based on MRI examination include: ① Multiple supratentorial subcortical lacunae (3-20 mm) with or without white matter degeneration, or moderate and severe white matter degeneration (Fazekas score ≥2) with or without lacunae; ② White matter lesions such as cortical/watershed infarction, cerebral hemorrhage, hydrocephalus or other causes (such as multiple sclerosis) were excluded; ③ There was no medial atrophy of hippocampus or temporal lobe (MTA 0); Can cooperate to complete clinical research.

Exclusion Criteria:

Suffering from any cause of disturbance of consciousness. Severe aphasia or physical disability can not complete the neuropsychological examination Those who have a history of alcoholism, or drug addiction, or neurological diseases such as brain trauma, epilepsy, encephalitis, normal intracranial pressure hydrocephalus, etc. that can cause cognitive impairment.

Suffering from systemic diseases that may lead to cognitive impairment (such as liver and kidney insufficiency, endocrine diseases, vitamin deficiency).

Have a history of using antipsychotics for more than five years before diagnosis.

There are contraindications for head MRI examination.",
2,NCT06470126,COMPLETED,2010-12-26,2012-08-12,,,INTERVENTIONAL,['NA'],36.0,RANDOMIZED,PARALLEL,BASIC_SCIENCE,"[{'type': 'PROCEDURE', 'name': '2.5% NaOCl group: The interventions performed in the study are root- canal therapies and disinfection procedure of these therapies.', 'description': '10 mL 2.5% NaOCl application followed the mechanical preparation. After 2 mL 0.9% saline application, the second samples were taken by placing a sterile cone in the largest canal of the tooth (distal canal for 60 seconds). The mesiobuccal and distobuccal canals were closed with a sterile cotton pellet while the samples were taken. After the application, the root canal filling was completed with a calcium hydroxide-containing paste (TgPex™, London, England), glass ionomer cement (Ionofil U, Voco, Cuxhaven, Germany) was placed, and the teeth were restored with a Stainless-Steel Crown (3M ESPE, Seefeld, Germany)', 'armGroupLabels': ['2.5% NaOCl']}, {'type': 'PROCEDURE', 'name': '0.9% sterile saline solution combined with 80 seconds: The OzonyTronX® interventions performed in the study are root- canal therapies and disinfection procedure of these therapies.', 'description': 'The canals were irrigated with 10 mL 0.9% sterile saline. Ozone treatment (OzonyTronX with CA probe) was applied for 80 seconds, and 2 mL 0.9% saline application was performed. Finally, the second samples were taken by the method described in group with 2.5% NaOCl, and the canal treatment was completed.', 'armGroupLabels': ['0.9% sterile saline solution combined with 80 seconds OzonyTronX®']}, {'type': 'PROCEDURE', 'name': '2.5% NaOCl with 80 seconds OzonyTronX®:The interventions performed in the study are root- canal therapies and disinfection procedure of these therapies.', 'description': 'The disinfection of root canals was done using 10 mL, 2.5% NaOCl, and ozone treatment for 80 seconds, and 2 mL 0.9% saline application was performed. Finally, the second samples were taken by the method described in group with %2.5 NaOCl, and the canal treatment was completed.', 'armGroupLabels': ['2.5% NaOCl with 80 seconds OzonyTronX®']}]","[{'measure': 'Values of C. albicans and E. faecalis prior to the application and following the applications', 'description': 'The results of the descriptive statistical analyses of the values of C. albicans and E. faecalis prior to the application and following the applications were shown in Log CFU.', 'timeFrame': '6 months'}]","Inclusion Criteria:

* Pediatric patients with no use of an antimicrobial agent in the last 3 months
* Teeth with positive responses to percussion and palpation, no sinus tract and intra-oral, extra-oral swelling,
* Teeth with no pathological and physiological mobility, and restorable with stainless steel crown.
* In radiographical examinations, the selected teeth needed to show the Res(i) and Res (1/4) scores according to the root resorption scoring system
* No radiolucency in the peri-radicular tissue and no internal-external root resorption were also among the including criteria. However, the teeth with lesions only in 1/3 percent of the bifurcation area were also included in the study

Exclusion Criteria:

* Patients who are not compatible with including criteria,
* Who cannot adopt the dental treatments,
* with whom rubber-dam İsolation was not possible were excluded from the study",
3,NCT06470139,NOT_YET_RECRUITING,2024-07-01,2025-07-31,,,INTERVENTIONAL,['PHASE4'],60.0,RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'DRUG', 'name': 'Ropivacaine 0.2% Injectable Solution', 'description': '20ml 0.2% Ropivacaine + 2.0ml 0.9% NaCl', 'armGroupLabels': ['Ropivacaine']}, {'type': 'DRUG', 'name': 'Ropivacaine 0.2% Injectable Solution + 4mg Dexamethasone', 'description': '20ml 0.2% Ropivacaine + 4mg Dexamethasone', 'armGroupLabels': ['Ropivacaine+Dexamethasone']}]","[{'measure': 'Time to first rescue opioid analgesia', 'description': 'Time after surgery when the patient needs opiate for the first time', 'timeFrame': '48 hours after surgery'}]","Inclusion Criteria:

* patients scheduled for total hip arthroplasty
* patients aged \>65 and \<100 years
* patients able to provide informed consent
* patients able to reliably report symptoms to the research team

Exclusion Criteria:

* inability to provide first-party consent due to cognitive impairment or a language barrier",
4,NCT06470152,NOT_YET_RECRUITING,2024-12-01,2027-12-01,,,INTERVENTIONAL,['NA'],200.0,NON_RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'PROCEDURE', 'name': 'Correction strategy in reference to our PI-dependent clustering of sagittal alignment', 'description': 'For type I patients (PI \\< 39.56°), the target LL = -0.13\\*PI2+9.36\\*PI-134.08; for type II patients (39.56° ≤ PI \\< 49.16°), the target LL = 0.45\\*PI+26.57; for type III patients (49.16° ≤ PI \\< 58.31°), the target LL = -0.15\\*PI2+17.09\\*PI-420.57; for type IV patients (PI \\> 58.31°), the target LL = 0.06\\*PI2-7.55\\*PI+289.77. Prediction intervals of 95% confidence is adopted as the target LL range.', 'armGroupLabels': ['Patients with ASD undergoing correction surgery in reference to our novel criteria']}, {'type': 'PROCEDURE', 'name': 'Correction strategy in reference to the SAAS score', 'description': 'This new score is composed of three sagittal parameters (PI-LL, PT and TPA). For these three parameters, points were assigned based on offset with age-adjusted targets 0 points if the parameter was within 10 years of the patient\'s age (Match). For each 20 years above the age-adjusted target, 1 point was added (e.g., + 1 point between + 10 and + 30, + 2 points between +30 and +50). Conversely, 1 point was subtracted for each 20 years below the age-adjusted target (e.g., -1 point between -10 and -30, -2 points between -30 and -50). SAAS was calculated by adding all 3 components, creating a discreet score that could have a negative value (under corrected) or positive value (over corrected). SAAS was sub-categorized into ""SAAS-Under"" if it was less than -1, ""SAAS-Match"" if it was between -1 and + 1 or ""SAAS-Over"" if it was greater than + 1.', 'armGroupLabels': ['Patients with ASD undergoing correction surgery in reference to SAAS score.']}]","[{'measure': 'Proximal Junctional Kyphosis', 'description': 'Proximal junctional kyphosis (PJK) was defined by a proximal junctional angle (PJA) (Cobb angle between the superior endplate of UIV+2 and inferior endplate of UIV) of \\> 10° and a PJA angle difference of \\> 10° from baseline at any time point up to latest follow-up.', 'timeFrame': 'Two years after surgery'}]","Inclusion Criteria:

1. ≥ 18 years of age at the time of treatment;
2. Complete radiographic data, including standing posteroanterior and lateral whole-spine radiographs, lumbar computed tomography, and lumbar magnetic resonance imaging;
3. Radiographic evidence of ASD: sagittal vertical axis ≥ 50 mm, pelvic tilt ≥ 25°, pelvic incidence-lumbar lordosis mismatch ≥ 10°, and/or thoracic kyphosis ≥ 60°.

Exclusion Criteria:

1. Any type of previous spinal surgery;
2. Other musculoskeletal problems impeding walking ability, syndromic or neuromuscular diseases such as Parkinson\&#39;s disease, inflammatory conditions such as ankylosing spondylitis, infectious conditions such as spinal tuberculosis, metabolic diseases such as severe osteoporosis, and/or serious general medical conditions such as sepsis or malignancy;
3. Pathology of deformity as follows: post-traumatic deformity, adult idiopathic scoliosis of the thoracic spine, or de-novo lumbar scoliosis;
4. Hip joint Kellgren-Lawrence grade ≥ II, history of hip joint and/or knee joint pain, and/or previous joint replacement.",
5,NCT06470165,NOT_YET_RECRUITING,2024-08-21,2026-12-31,,,INTERVENTIONAL,['NA'],200.0,NON_RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'PROCEDURE', 'name': 'Priority-matching correction technique in DLS', 'description': 'For Type 1 global coronal malalignment (GCM), TL/L curve makes the primary contri- bution on C7PL shifting. First, inserting pedicle screws bilaterally. Second, aggressively decreasing the magnitude of TL/L curve. Third, moderately leveling L4 endplate to pull the fusion segments to the middle line with hand pressure on the convexity of TL/L curve. If the correctability of the key curve was limited, the correction of the minor curve would be con- vergent.\n\nFor Type 2 GCM, LS curve makes the primary contribution on C7PL shifting. First, releasing LS curve from the concave side using facetectomy after screws inserted. Second, performing L4-5 or L5-S1 trans- foraminal lumbar interbody fusion (TLIF) from the con- vexity of the fractional curve, with cages inserted at the concave side to assist deformity correction. Third, compressing the convexity of LS to horizontalize L4 endplate, followed by moderate manipulative reduction of TL/L curve to adjust intraoperative coronal balance.', 'armGroupLabels': ['DLS patients undergoing correction surgery in reference to our novel criteria']}, {'type': 'PROCEDURE', 'name': 'Traditional correction technique in DLS', 'description': 'In concave coronal malalignment (CM), the correction of the main curve improves the CM, thus we can talk about convergent corrective objectives. The ability to correct the CM depends on the correctability of the main curve. The need of three-column osteotomies in order to obtain correction of CM depends on the location and flexibility of the main curve.\n\nThe correction of convex CM depends on the correction of the lumbosacral curve. The correction strategy will depend on many factors including the driver of the deformity, which should always be fused, but also the degeneration and stiffness of the compensatory curve which can lead to more extended fusion. The need of three-column osteotomies depends mainly on the stiffness of the lumbosacral curve.', 'armGroupLabels': ['DLS patients undergoing correction surgery in reference to Obeid classification']}]","[{'measure': 'Scoliosis Research Society-22', 'description': 'The 22-item SRS-22r questionnaire is specific to scoliosis-related patient-reported outcomes, and consists of 6 domains: function, pain, self-image, mental health, satisfaction, and subtotal, with each domain being scored from 1 to 5 where higher scores correspond to better patient outcomes.', 'timeFrame': 'One month, 3 months, 6 months, 1 year, and 2 years after surgery'}, {'measure': 'Oswestry disability index', 'description': 'The validated ODI is a self-administered questionnaire for evaluating back-specific functional disability, consisting of 10 items with scores from 0 to 5, and higher ODI indicates more severe disability.', 'timeFrame': 'One month, 3 months, 6 months, 1 year, and 2 years after surgery'}, {'measure': 'Achievement of minimal clinically important difference', 'description': 'A prespecified MCID of 10 points was used for the ODI. The minimum clinically important difference (MCID) values for the SRS-22r based on data from a Japanese cohort have previously been reported as follows: function = 0.90, pain = 0.85, self-image = 1.05, mental health = 0.70, and subtotal = 1.05.', 'timeFrame': 'Two years after surgery'}]","Inclusion Criteria:

1. A diagnosis of DLS based on radiography and previous medical record,
2. Age \&gt; 50 years

Exclusion Criteria:

1. Leg length discrepancy,
2. A history of spinal or pelvic surgery,
3. A history of neuromuscular diseases, arthritis or tumor.",
6,NCT06470178,NOT_YET_RECRUITING,2025-05-01,2027-04-30,,,OBSERVATIONAL,,70.0,,,,"[{'type': 'COMBINATION_PRODUCT', 'name': 'corhot1: chemotherapy combined with fruquintinib', 'description': 'Chemotherapy Drugs: Selection based on clinical guidelines/indications and patient condition.For example, recommended chemotherapy regimens: mFOLFOX6 or CAPEOX.\n\nFruquintinib: 3mg (starting dose), PO (once daily). Dosing schedule and dosage can be adjusted based on concurrent chemotherapy and immune checkpoint inhibitors. Have received fruquintinib treatment for at least 2 cycles.', 'armGroupLabels': ['Cohort 1 : neoadjuvant treatment']}, {'type': 'COMBINATION_PRODUCT', 'name': 'corhot2: chemotherapy combined with fruquintinib', 'description': 'Chemotherapy Drugs: Selection based on clinical guidelines/indications and patient condition.For example, recommended chemotherapy regimens: mFOLFOX6 or CAPEOX.\n\nFruquintinib: 3mg (starting dose), PO (once daily). Dosing schedule and dosage can be adjusted based on concurrent chemotherapy and immune checkpoint inhibitors. Have received fruquintinib treatment for at least 2 cycles.', 'armGroupLabels': ['Cohort 2:conversion treatment']}]","[{'measure': 'Corhot1: Pathological Complete Response Rate (pCR)', 'description': 'Pathological Complete Response Rate (pCR), defined as no residual tumor cells in the surgical specimen of the primary tumor and lymph nodes (ypT0N0); corresponds to TRG grade 0.', 'timeFrame': 'Time from the first treatment up to 12 weeks'}, {'measure': 'Corhot2: R0 surgical conversion rate', 'description': 'R0 surgical conversion rate：The proportion of subjects who achieve complete R0 resection of both the primary gastric lesion and any metastases among all subjects receiving the conversion therapy regimen.', 'timeFrame': 'Time from the first treatment up to 24 weeks'}]","Inclusion Criteria:

* Patients must meet all of the following criteria to be enrolled in this study:

  1. Age ≥18 years and ≤75 years;
  2. Either gender;
  3. Patients with histologically confirmed colorectal cancer. For the neoadjuvant treatment cohort: Rectal cancer is limited to high rectal cancer, but patients with mid to low rectal cancer who are unwilling or unsuitable for neoadjuvant chemoradiotherapy can also be included.
  4. Neoadjuvant treatment cohort: Clinically staged as stage II (T3-4N0M0) or stage III (T1-4N1-2M0) and initially resectable; patients with clinical stage M1 but initially resectable can also be included in the neoadjuvant treatment cohort, such as patients with stage IV liver oligometastasis. Conversion treatment cohort: Patients with initially unresectable but potentially resectable locally advanced or advanced distant metastatic colorectal cancer (according to AJCC 8th), and patients with locally advanced low rectal cancer who are unsuitable or unwilling to undergo chemoradiotherapy can also be included.
  5. Have received chemotherapy and fruquintinib for at least 2 cycles. For the neoadjuvant therapy cohort, patients who have not previously received anticancer treatment (radiotherapy, chemotherapy, targeted therapy, or immunotherapy, etc.). The patients are eligible for inclusion in the analysis set if they have received fruquintinib treatment for at least 2 cycles and have undergone at least one tumor assessment after baseline. All patients included in the efficacy analysis are included in the safety analysis set.
  6. Eastern Cooperative Oncology Group (ECOG) performance status of 0-1 before treatment.
  7. Expected survival time of \>6 months before neoadjuvant therapy and \>3 months before conversion therapy.
  8. No significant organ dysfunction or drug contraindications before receiving neoadjuvant or conversion therapy.
  9. There is no mandatory requirement for target lesions. Objective response rate (ORR) assessment is based on all evaluable patients, regardless of the presence of target lesions. For patients without target lesions, those assessed as non PR/non PD will be analyzed as stable disease (SD).

Exclusion Criteria:

* Patients meeting any of the following criteria are not eligible to enter the study:

  1. History of other primary malignant tumors, except: (1) complete remission of malignant tumors at least 2 years before enrollment and no need for other treatment during the study period; (2) adequately treated non-melanoma skin cancer or malignant melanoma without evidence of disease recurrence; (3) adequately treated in situ carcinoma.
  2. dMMR/MSI-H.
  3. Female patients who are pregnant or lactating.
  4. Known allergy (Grade 3 or higher allergic reaction) or contraindication to anti-angiogenic drugs or chemotherapy drug components.
  5. Use of non-study drug treatments during the study period that may interfere with the analysis.
  6. Patients who did not undergo any tumor efficacy assessment after receiving neoadjuvant or conversion therapy.
  7. Less than 2 cycles of fruquintinib neoadjuvant or conversion therapy.
  8. Patients with insufficient follow-up information as judged by the investigator (such as not returning to the hospital for treatment or efficacy assessment after initial treatment).",
7,NCT06470191,NOT_YET_RECRUITING,2024-07-31,2026-12-31,,,INTERVENTIONAL,"['PHASE2', 'PHASE3']",216.0,RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'DRUG', 'name': 'B007', 'description': 'B007： Subcutaneous injection was administered on days 1 and 15', 'armGroupLabels': ['B007']}, {'type': 'DRUG', 'name': 'Cyclosporin Capsules', 'description': 'Cyclosporin Capsules： Orally, 3.5 mg/kg/d；', 'armGroupLabels': ['Cyclosporin Capsules']}]","[{'measure': 'ORR（Overall Remission Rate）', 'timeFrame': 'Approximately 2 years'}]","Inclusion Criteria:

1. Subjects with primary membranous nephropathy pathologically confirmed by renal biopsy;
2. Subjects with glomerular filtration rate（eGFR） ≥ 45 mL/min/1.73 m2.
3. If taking Angiotensin converting enzyme inhibitors/angiotensin II receptor antagonists/sodium-glucose cotransporter 2 inhibitors/endothelin inhibitors, a stable dose within 4 weeks before screening is required;
4. Subjects with 24-hour elevated urinary protein in accordance with the prescribed conditions;
5. Subjects whose laboratory test results meet the prescribed standards during the screening period;
6. Subjects who have fully understood this study and voluntarily signed the informed consent form；
7. Subjects who are able to follow the study protocol as judged by the investigator.

Exclusion Criteria:

1. Subjects with secondary membranous nephropathy or primary membranous nephropathy whose pathological reports suggest concomitant crescent bodies;
2. Subjects identified by the investigator as previously resistant to CD20 monoclonal antibody or cyclosporine;
3. Subjects who have received medication prescribed for membranous nephropathy;
4. Subjects with concomitant prescribed diseases;
5. Subjects with a known history of severe allergic reactions to humanized monoclonal antibodies, or known allergies to any component of cyclosporine or B007;
6. Subjects who received live vaccination, major surgery, or participated in other clinical trials within 28 days before receiving the study drug;
7. Subjects with positive hepatitis B surface antigen; those with positive hepatitis C virus antibody; those with a history of immunodeficiency or suffer from other acquired or congenital immunodeficiency diseases;
8. Subjects who have a clear history of tuberculosis or have received anti-tuberculosis treatment;
9. Subjects with CD4+ T lymphocyte count \< 400 cells/μL;
10. Pregnant or lactating women; women of childbearing potential who have not been sterilized do not agree to use appropriate contraceptive measures during treatment and for at least 12 months after the last dose of the study drug;
11. For male subjects who have not been sterilized: those who do not consent to the use of barrier contraception during the study period and for at least 12 months after the last administration of the study drug, and who do not consent to the use of other contraceptive methods by their spouses;
12. Other conditions unsuitable for participation in this study determined by the Investigator.",
8,NCT06470204,NOT_YET_RECRUITING,2024-07-01,2025-08-30,,,INTERVENTIONAL,['PHASE4'],60.0,RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'DRUG', 'name': 'Ropivacaine', 'description': 'Ultrasound-guided iPACK block + ACB - 2 x (20ml 0,2% ropivacaine + 2ml 0.9% NaCl)', 'armGroupLabels': ['Ropivacaine']}, {'type': 'DRUG', 'name': 'Ropivacaine+Dexamethasone', 'description': 'Ultrasound-guided iPACK block + ACB - 2 x (20ml 0,2% ropivacaine + 2mg Dexamethasone)', 'armGroupLabels': ['Ropivacaine + Dexamethasone']}]","[{'measure': 'Time to first rescue opioid analgesia', 'description': 'Time after surgery when the patient needs opiate for the first time', 'timeFrame': '48 hours after surgery'}]","Inclusion Criteria:

* patients scheduled for total hip arthroplasty
* patients aged \>65 and \<100 years
* patients able to provide informed consent
* patients able to reliably report symptoms to the research team

Exclusion Criteria:

* inability to provide first-party consent due to cognitive impairment or a language barrier",
9,NCT06470217,RECRUITING,2024-06-19,2027-06-19,,,INTERVENTIONAL,['PHASE2'],116.0,RANDOMIZED,PARALLEL,TREATMENT,"[{'type': 'DRUG', 'name': 'tirilizumab with albumin-bound paclitaxel and cisplatin', 'description': 'tirilizumab administered by intravenous drip (no prophylaxis required) at a fixed dose of 200 mg. each infusion was given for 30 min (not less than 20 min and not more than 60 min) every 3 weeks, and 3 preoperative cycles of albumin-bound paclitaxel 260 mg/m2 and cisplatin 75 mg/m2 on d1, with 1 cycle every 21 days; 3 preoperative Cycles. After neoadjuvant therapy, patients underwent surgery and were stratified according to pathological conditions after surgery; if significant pathological remission (MPR) was achieved, 6 cycles of adjuvant therapy with tirilizumab monotherapy (concurrent radiochemotherapy was available for those with high-risk factors) were performed; if MPR was not achieved, concurrent radiochemotherapy was performed.', 'armGroupLabels': ['Neoadjuvant treatment arm'], 'otherNames': ['neoadjuvant arm']}, {'type': 'PROCEDURE', 'name': 'surgery', 'description': 'patients underwent direct surgical treatment, with postoperative radiotherapy or radiochemotherapy depending on the presence or absence of histological or pathological high-risk factors.', 'armGroupLabels': ['Standard treatment arm'], 'otherNames': ['Standard treatment arm']}]","[{'measure': '2 year events free survival rate', 'description': 'the percentage of participants documented PD per RECIST 1.1 from enrollment in the neoadjuvant stage, or recurrent or death due to any cause, whichever occurred first.', 'timeFrame': 'up to 36 months'}]","Inclusion Criteria:

Age 18-75 years, male or female; Patients with primary stage III-IVa surgically resectable squamous cell carcinoma of the oral cavity with measurable lesions (≥10 mm on spiral CT scan, fulfilling RECIST 1.1 criteria) as confirmed by pathohistology; ECOG score of 0 or 1; Expected survival ≥ 12 weeks; Tumour tissue (paraffin specimen or fresh tumour tissue less than 2 years old) for PD-L1 detection is available; Organ function levels must meet the following requirements (14 days prior to first dose of study drug) Bone Marrow:Absolute Neutrophil Count (ANC) ≥ 1.5 x 109/L, Platelet (PLT) ≥ 100 x 109/L, Haemoglobin (HB) ≥ 9g/dL (no blood transfusion or receipt of component blood within 14 days prior to the test); Liver: serum total bilirubin (TBIL) ≤ 1.5 times the upper limit of normal, aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤ 2.5 times the upper limit of normal (if there is hepatic metastasis, AST and ALT are allowed to be ≤ 5 times the upper limit of normal); and Kidney: blood creatinine level less than 1.5 times the upper limit of normal or creatinine clearance ≥60ml/min, urea nitrogen ≤200mg/L; Thyroid-stimulating hormone (TSH) ≤1×ULN (if abnormal, FT3 and FT4 levels should be examined at the same time; if FT3 and FT4 levels are normal, they can be enrolled) Urine protein ≤1+, if urine protein \>1+, 24-hour urine protein measurement should be collected, and its total amount should be ≤1g; and Normal cardiac function, i.e. normal ECG or abnormalities without clinical significance and left ventricular ejection fraction (LVEF) \>50% on cardiac ultrasound.

Reproductively active female subjects must have a negative serum pregnancy test prior to the first dose of the test drug.

Reproductively active male or female subjects must be using a highly effective method of contraception (e.g., oral contraceptive pill, intrauterine device, abstinence from sexual intercourse, or barrier method of contraception combined with spermicide) throughout the course of the trial and continue to use contraception for 90 days after completion of treatment; Subjects volunteered to join the study, signed an informed consent form, were compliant and co-operated with follow-up visits.

Exclusion Criteria:

With distant metastatic lesions or localised lesions without indication for surgery (stage IVb or IVc patients); Prior history of a primary tumour of nasopharyngeal carcinoma; Patients who have participated or are participating in a clinical trial of another drug/therapy within 4 weeks prior to the first dose of study drug; Major surgical procedure performed/received within 4 weeks prior to the first dose of study drug or have not recovered from the side effects of this procedure, live vaccination, immunotherapy, radiotherapy within 2 weeks; Concurrently receiving any other anti-tumour therapy; Patient has any active autoimmune disease or history of autoimmune disease (e.g., the following, but not limited to: autoimmune hepatitis, interstitial pneumonitis, uveitis, enteritis, hepatitis, pituitary gland inflammation, vasculitis, nephritis, hyperthyroidism; vitiligo that does not require systemic therapy may be included; asthma that has been in complete remission in childhood and does not require any intervention in adulthood may be be included; asthma in which the patient requires medical intervention with bronchodilators cannot be included); Patients who are on immunosuppressive, or systemic hormone therapy for immunosuppression (dose \>10mg/day prednisone or other equipotent hormone) and continue to do so within 2 weeks prior to enrolment; History of other malignancies within the past 5 years, except cured basal cell carcinoma of the skin, squamous cell carcinoma of the skin, early stage prostate cancer, and carcinoma in situ of the cervix; Patients who have received haematopoietic stimulating factors, such as those receiving granulocyte colony-stimulating factor (G-CSF), erythropoietin, etc., within 1 week prior to the first dose of study drug; Prior treatment with PD-1/PD-L1/PD-L2/CTLA-4 antibodies or activating or inhibitory drugs targeting T-cell receptors (e.g., OX40, CD137); Positive HIV antibody or syphilis spirochete antibody test results; Patients with active Hepatitis B or Hepatitis C:. If HBsAg or HBcAb is positive, HBV DNA (results above the upper limit of the normal range).

If HCV antibody test result is positive, add HCV RNA (result above upper limit of normal range); Known hypersensitivity to recombinant humanised PD-1 monoclonal antibody drugs and their components; and Active lung disease (interstitial pneumonitis, pneumonia, obstructive lung disease, asthma) or a history of active tuberculosis; Have any uncontrolled clinical problems, including but not limited to. Persistent or active (serious) infections. Medication-uncontrolled hypertension (blood pressure persistently greater than 150/90 mmHg); Poorly controlled diabetes mellitus. Heart disease (class III/IV congestive heart failure or heart block as defined by the New York Heart Association).

The following within 6 months prior to first dose: deep vein thrombosis or pulmonary embolism; myocardial infarction; severe or unstable arrhythmia or angina pectoris; percutaneous coronary intervention, acute coronary syndrome, coronary artery bypass grafting; cerebrovascular accidents, transient ischaemic attacks, cerebral embolism; Previous stem cell transplant or organ transplant; Persons with a history of psychotropic substance abuse that they are unable to abstain from or persons with a history of psychotic disorders; Other severe, acute, or chronic medical conditions or abnormal laboratory tests that, in the investigator's judgement, may increase the risks associated with participation in the study or may interfere with the interpretation of study results; Patients who, in the judgement of the investigator, have poor compliance, or other conditions that make participation in this trial unsuitable.",
