nctId,durationMonths
NCT06479733,11
NCT06480669,4
NCT06482619,32
NCT06474494,0
NCT06478095,11
NCT06479564,5
NCT06472258,4
NCT06473727,11
NCT06478758,2
NCT06477575,0
NCT06482710,4
NCT06479538,5
NCT06481215,5
NCT06482177,7
NCT06478914,5
NCT06478004,13
NCT06479967,7
NCT06476522,2
NCT06470789,1
NCT06473376,43
NCT06479226,4
NCT06472687,4
NCT06473402,0
NCT06480045,15
NCT06470724,6
NCT06475508,10
NCT06470464,31
NCT06478615,15
NCT06476353,7
NCT06470399,15
NCT06478329,2
NCT06480071,2
NCT06471153,8
NCT06482736,7
NCT06471270,7
NCT06470412,16
NCT06476990,11
NCT06472154,12
NCT06471686,20
NCT06475404,5
NCT06479525,5
NCT06477432,7
NCT06477978,15
NCT06470425,3
NCT06474624,11
NCT06473662,20
NCT06482723,17
NCT06475885,5
NCT06477328,12
NCT06470490,2
NCT06473571,9
NCT06472648,3
NCT06481254,0
NCT06473636,22
NCT06478771,27
NCT06481657,18
NCT06475872,0
NCT06479551,5
NCT06480149,15
NCT06480409,3
NCT06480929,25
NCT06470126,19
NCT06470854,3
NCT06478511,33
NCT06475482,2
NCT06474000,10
NCT06475586,10
NCT06478966,0
NCT06482060,10
NCT06478082,27
NCT06473311,1
NCT06479798,19
NCT06479902,9
NCT06481189,6
NCT06481202,2
NCT06479746,6
NCT06472882,2
NCT06473350,8
NCT06478134,6
NCT06473220,12
NCT06483009,36
NCT06474598,4
NCT06479200,6
NCT06480760,36
NCT06470867,36
NCT06480019,10
NCT06477588,49
NCT06470308,13
NCT06479980,7
NCT06479083,23
NCT06475274,12
NCT06474936,12
NCT06474520,60
NCT06482970,8
NCT06477926,2
NCT06483048,48
NCT06480721,40
NCT06479304,20
NCT06479187,24
NCT06472661,24
NCT06480799,35
NCT06475235,7
NCT06474832,13
NCT06476730,6
NCT06477822,5
NCT06473532,9
NCT06472323,24
NCT06471348,26
NCT06478186,24
NCT06477224,1
NCT06482788,12
NCT06475560,12
NCT06474234,13
NCT06471036,12
NCT06479369,5
NCT06471309,16
NCT06481761,3
NCT06475599,41
NCT06482008,18
NCT06477770,4
NCT06470373,24
NCT06475521,36
NCT06475937,24
NCT06479447,24
NCT06480500,15
NCT06481891,24
NCT06475690,12
NCT06478108,57
NCT06472505,25
NCT06472856,6
NCT06471283,12
NCT06477029,18
NCT06474039,24
NCT06472102,19
NCT06482593,8
NCT06482086,42
NCT06480812,10
NCT06472401,11
NCT06472544,60
NCT06471738,30
NCT06481995,48
NCT06473181,2
NCT06477068,6
NCT06478667,6
NCT06470191,29
NCT06474078,36
NCT06477341,37
NCT06479148,6
NCT06470386,17
NCT06481813,60
NCT06474845,7
NCT06470555,12
NCT06481540,16
NCT06483087,13
NCT06482229,2
NCT06470152,36
NCT06472180,12
NCT06473857,13
NCT06470282,34
NCT06479109,9
NCT06473441,24
NCT06481852,24
NCT06475716,15
NCT06481501,12
NCT06470451,21
NCT06481917,19
NCT06472895,17
NCT06482268,9
NCT06476301,19
NCT06473103,21
NCT06477510,15
NCT06470113,16
NCT06478173,6
NCT06471647,24
NCT06470542,12
NCT06476496,11
NCT06472986,51
NCT06472713,16
NCT06482814,45
NCT06475469,73
NCT06472206,36
NCT06481150,7
NCT06480604,10
NCT06478719,10
NCT06480487,5
NCT06473155,12
NCT06478563,6
NCT06470503,36
NCT06473285,12
NCT06471257,27
NCT06477679,20
NCT06470295,36
NCT06481280,18
NCT06482697,28
NCT06473051,28
NCT06473246,14
NCT06470893,12
NCT06472791,12
NCT06473883,4
NCT06470256,36
NCT06481306,30
NCT06472284,15
NCT06472050,15
NCT06472115,35
NCT06479759,17
NCT06479889,13
NCT06480110,29
NCT06477614,79
NCT06470581,22
NCT06473207,24
NCT06474468,28
NCT06476639,24
NCT06470217,12
NCT06473987,48
NCT06471543,12
NCT06474741,23
NCT06472011,12
NCT06476951,16
NCT06481605,9
NCT06479850,11
NCT06475170,18
NCT06471426,12
NCT06473948,2
NCT06472089,43
NCT06482398,12
NCT06476834,4
NCT06479811,54
NCT06480864,13
NCT06475131,24
NCT06470763,39
NCT06480188,25
NCT06477419,60
NCT06473909,18
NCT06478979,17
NCT06470919,6
NCT06481371,8
NCT06472973,24
NCT06482463,24
NCT06477120,28
NCT06476418,8
NCT06472908,45
NCT06475664,18
NCT06478056,24
NCT06478810,15
NCT06478797,12
NCT06477198,0
NCT06477874,9
NCT06482658,12
NCT06480370,40
NCT06475326,12
NCT06471959,6
NCT06482567,32
NCT06475625,63
NCT06478017,43
NCT06480448,8
NCT06478693,13
NCT06477835,10
NCT06475222,5
NCT06480331,18
NCT06470165,28
NCT06478732,30
NCT06476405,3
NCT06482242,22
NCT06482307,12
NCT06477185,28
NCT06479031,16
NCT06479174,12
NCT06476002,3
NCT06482645,12
NCT06474195,11
NCT06470139,12
NCT06476782,6
NCT06482983,13
NCT06482203,0
NCT06482346,11
NCT06481839,24
NCT06475287,12
NCT06475053,17
NCT06479070,24
NCT06475950,27
NCT06479135,31
NCT06477081,19
NCT06476106,62
NCT06474286,12
NCT06477445,2
NCT06474793,2
NCT06471712,0
NCT06474455,24
NCT06470945,12
NCT06477107,24
NCT06476080,9
NCT06470841,40
NCT06480253,1
NCT06481696,19
NCT06477146,17
NCT06477900,42
NCT06477003,24
NCT06472128,56
NCT06474910,2
NCT06476184,36
NCT06474013,3
NCT06479343,16
NCT06478381,19
NCT06479590,6
NCT06474208,1
NCT06471231,24
NCT06471374,51
NCT06477536,17
NCT06476327,0
NCT06481423,36
NCT06481566,18
NCT06470932,24
NCT06471335,6
NCT06476223,6
NCT06482034,14
NCT06476366,12
NCT06476171,16
NCT06475248,3
NCT06472427,0
NCT06480422,6
NCT06477367,1
NCT06483035,24
NCT06474377,6
NCT06470334,3
NCT06471933,12
NCT06473298,8
NCT06475209,18
NCT06472466,4
NCT06482632,22
NCT06475989,73
NCT06483074,25
NCT06477263,6
NCT06474273,60
NCT06477848,47
NCT06474767,12
NCT06473558,11
NCT06478251,26
NCT06480435,6
NCT06480032,13
NCT06479694,24
NCT06472037,10
NCT06483022,24
NCT06476977,20
NCT06472934,46
NCT06477809,3
NCT06473519,2
NCT06478355,79
NCT06474663,85
NCT06474819,30
NCT06480136,35
NCT06476873,10
NCT06472076,52
NCT06481475,5
NCT06478953,18
NCT06476808,53
NCT06472518,30
NCT06473974,9
NCT06476275,1
NCT06473831,16
NCT06479616,29
NCT06481072,24
NCT06481137,18
NCT06471699,38
NCT06471725,3
NCT06481033,24
NCT06481176,23
NCT06471322,13
NCT06474507,60
NCT06478524,0
NCT06476886,26
NCT06474442,15
NCT06482541,12
NCT06471569,12
NCT06476756,4
NCT06476613,22
NCT06481228,24
NCT06480747,11
NCT06477393,58
NCT06477055,29
NCT06474546,49
NCT06473779,33
NCT06472492,19
NCT06478420,42
NCT06474403,35
NCT06482853,55
NCT06478498,3
NCT06475300,24
NCT06480643,26
NCT06475183,8
NCT06474585,4
NCT06482255,0
NCT06477653,30
NCT06471504,12
NCT06473493,9
NCT06474182,24
NCT06479499,6
NCT06480383,30
NCT06481592,43
NCT06474897,2
NCT06470568,24
NCT06477757,17
NCT06474481,41
NCT06473714,30
NCT06475443,24
NCT06471400,24
NCT06477887,1
NCT06476795,7
NCT06473597,30
NCT06479876,12
NCT06471816,66
NCT06472739,11
NCT06476054,30
NCT06476392,25
NCT06479122,12
NCT06480656,24
NCT06482684,89
NCT06482112,14
NCT06471244,32
NCT06474416,24
NCT06470906,10
NCT06478823,71
NCT06471751,25
NCT06482450,10
NCT06471881,66
NCT06477406,22
NCT06481293,10
NCT06482515,60
NCT06478589,6
NCT06472583,47
NCT06471205,24
NCT06478927,24
NCT06478862,23
NCT06470802,23
NCT06471439,18
NCT06481397,5
NCT06471985,0
NCT06475495,28
NCT06476743,7
NCT06482554,30
NCT06475378,6
NCT06482606,12
NCT06482190,6
NCT06473701,19
NCT06470984,10
NCT06480396,113
NCT06470438,41
NCT06479863,34
NCT06471946,60
NCT06478264,24
NCT06470204,13
NCT06474247,12
NCT06473428,24
NCT06480695,12
NCT06475339,31
NCT06473740,35
NCT06480292,6
NCT06470880,24
NCT06472297,25
NCT06475417,12
NCT06478225,35
NCT06471907,10
NCT06479434,11
NCT06478602,25
NCT06480123,53
NCT06479785,4
NCT06472960,6
NCT06482372,27
NCT06480461,36
NCT06474676,73
NCT06479382,3
NCT06478069,7
NCT06474949,24
NCT06480318,0
NCT06476132,34
NCT06478706,14
NCT06476431,1
NCT06472921,15
NCT06476574,10
NCT06479681,48
NCT06482333,24
NCT06472167,2
NCT06472219,36
NCT06474637,10
NCT06479005,15
NCT06480565,9
NCT06482671,24
NCT06477627,6
NCT06478680,13
NCT06475118,11
NCT06481163,6
NCT06479707,21
NCT06479642,12
NCT06482827,12
NCT06476626,26
NCT06471049,36
NCT06478784,12
NCT06477471,0
NCT06473961,6
NCT06470971,17
NCT06479603,19
NCT06477133,12
NCT06481319,20
NCT06471634,24
NCT06474572,0
NCT06479655,11
NCT06482164,9
NCT06482021,2
NCT06476236,12
NCT06479317,20
NCT06479252,6
NCT06480227,36
NCT06481436,12
NCT06478290,23
NCT06472388,25
NCT06471361,5
NCT06474026,2
NCT06481709,1
NCT06477523,22
NCT06482125,6
NCT06470659,4
NCT06479356,8
NCT06479213,7
NCT06479993,16
NCT06477276,10
NCT06483061,60
NCT06480708,11
NCT06475924,8
NCT06470360,7
NCT06479395,4
NCT06482762,18
NCT06478992,18
NCT06482918,21
NCT06478212,37
NCT06477237,5
NCT06472609,41
NCT06475066,24
NCT06478654,6
NCT06471530,15
NCT06480175,5
NCT06475820,36
NCT06475573,15
NCT06470321,40
NCT06473389,12
NCT06479291,18
NCT06478316,24
NCT06477094,12
NCT06473038,30
NCT06480786,15
NCT06480552,58
NCT06482580,3
NCT06476847,22
NCT06481085,10
NCT06481969,30
NCT06479161,8
NCT06477939,97
NCT06478459,12
NCT06471855,19
NCT06480513,28
NCT06482892,4
NCT06475729,5
NCT06472453,34
NCT06476938,24
NCT06474143,7
NCT06478160,14
NCT06470100,13
NCT06474728,15
NCT06473844,30
NCT06477692,48
NCT06472869,7
NCT06482294,10
NCT06481787,22
NCT06472193,18
NCT06480968,11
NCT06480084,20
NCT06473805,13
NCT06477796,31
NCT06481800,3
NCT06478875,24
NCT06471075,26
NCT06479629,11
NCT06476925,7
NCT06472570,136
NCT06470633,22
NCT06477549,48
NCT06470776,11
NCT06473623,10
NCT06473766,12
NCT06474559,4
NCT06474689,8
NCT06479668,36
NCT06471608,49
NCT06476964,25
NCT06472024,2
NCT06476821,2
NCT06472531,10
NCT06470672,20
NCT06470737,18
NCT06476899,20
NCT06473025,9
NCT06482749,34
NCT06481020,6
NCT06474975,24
NCT06472726,12
NCT06482437,17
NCT06478147,4
NCT06481098,10
NCT06476509,2
NCT06471673,11
NCT06479486,4
NCT06473064,24
NCT06474871,12
NCT06472622,121
NCT06476548,12
NCT06471777,21
NCT06478940,12
NCT06478043,12
NCT06479330,4
NCT06478433,12
NCT06474806,15
NCT06470516,21
NCT06478576,60
NCT06482905,27
NCT06473506,3
NCT06476704,73
NCT06471491,17
NCT06471868,0
NCT06477380,24
NCT06475352,2
NCT06479408,4
NCT06478472,36
NCT06475755,11
NCT06478537,36
NCT06476483,5
NCT06482944,27
NCT06476600,6
NCT06482047,9
NCT06471595,14
NCT06482801,79
NCT06471829,19
NCT06472141,12
NCT06475391,2
NCT06470828,23
NCT06477744,65
NCT06477601,4
NCT06470347,24
NCT06475846,4
NCT06474754,12
NCT06476769,5
NCT06471556,26
NCT06479473,10
NCT06473584,12
NCT06474611,5
NCT06482138,11
NCT06474312,11
NCT06477705,0
NCT06477640,18
NCT06480851,1
NCT06479824,13
NCT06473480,11
NCT06479577,5
NCT06474715,28
NCT06475807,35
NCT06471517,13
NCT06471452,14
NCT06474650,1
NCT06470243,31
NCT06473896,24
NCT06475105,2
NCT06476379,12
NCT06473194,24
NCT06475040,12
NCT06477354,36
NCT06481579,1
NCT06476457,8
NCT06472414,30
NCT06475781,42
NCT06475144,1
NCT06473090,12
NCT06475001,13
NCT06477250,18
NCT06476912,10
NCT06482528,2
NCT06481241,24
NCT06477913,4
NCT06473116,52
NCT06476314,5
NCT06476197,18
NCT06473454,2
NCT06472245,42
NCT06480539,17
NCT06472479,50
NCT06480240,36
NCT06473792,1
NCT06480305,8
NCT06479720,30
NCT06481514,11
NCT06475703,6
NCT06477952,24
NCT06476210,12
NCT06473012,5
NCT06476093,30
NCT06471582,37
NCT06479018,35
NCT06480981,6
NCT06480578,41
NCT06481410,24
NCT06480201,24
NCT06475742,40
NCT06481488,3
NCT06475365,14
NCT06474962,22
NCT06472336,36
NCT06482359,0
NCT06480734,22
NCT06476288,22
NCT06476158,12
NCT06472232,12
NCT06480630,24
NCT06479096,2
NCT06478238,72
NCT06474260,32
NCT06477159,35
NCT06474325,8
NCT06471127,59
NCT06479239,38
NCT06481631,42
NCT06471465,39
NCT06481774,36
NCT06471023,2
NCT06474221,13
NCT06471920,44
NCT06475430,18
NCT06474364,50
NCT06471218,10
NCT06479278,18
NCT06481670,13
NCT06474299,46
NCT06481735,24
NCT06471998,14
