nctId,status,studyType,primaryPurpose
NCT05499390,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05441683,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05613686,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05497843,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06157541,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05023109,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05062278,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06043063,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05521828,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06296069,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04042701,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03212404,RECRUITING,INTERVENTIONAL,TREATMENT
NCT01797523,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04616521,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06325176,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05902169,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03786783,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05317026,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05454657,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06315790,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06354647,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05448313,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06103565,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT02867124,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05552729,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06439381,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT02236689,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04291664,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03246906,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05422209,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05524285,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05806736,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04921384,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05096806,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06014008,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06451952,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04090424,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02710968,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05834413,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05516134,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03425500,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05911971,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03277638,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02076906,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05492721,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06367881,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06196710,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03936894,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05925179,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05868707,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04539808,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05808322,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT00505063,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05812885,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05870423,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04835584,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03535129,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05284266,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05712902,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05119608,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04910308,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05909098,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03079401,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05537363,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06110884,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06213662,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05604209,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05483491,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04173533,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06102382,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05757037,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04649983,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05691283,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02991677,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05925322,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05830877,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06362317,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05235256,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04627870,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04505254,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04376502,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03164486,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03321552,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04560894,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT02411448,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05530902,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05340712,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06305793,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05633355,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05740891,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04689386,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04432259,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06209983,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03213925,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03505229,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06121635,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05522491,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04278313,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03936777,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05367817,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05923476,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05451615,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03728673,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06082583,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05936125,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03630289,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03811405,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04235179,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03993106,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05470595,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04379973,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04822766,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04234191,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06141252,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05097417,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05731700,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06109909,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05879029,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05549115,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06133114,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04258371,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04869124,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05557578,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06039384,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06433726,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06364007,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04914975,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05662228,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06415383,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03346135,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06434064,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04291885,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03794011,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06176989,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05827276,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04941716,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05724862,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05240404,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05931003,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06439602,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06023641,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05753007,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06176157,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05625204,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02916680,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05476276,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05858736,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06158958,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04787003,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06299332,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04216316,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05999799,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04485013,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05704868,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03562169,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06040320,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04918667,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05063916,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT01972867,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
