nctId,status,studyType,primaryPurpose
NCT06478238,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06472934,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06473896,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06481709,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06470204,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478537,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06481072,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06470841,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06481293,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06476197,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06479642,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06471309,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06479239,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06482918,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06472479,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06482554,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06472518,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06474286,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06472986,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06481566,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478953,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06470438,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478862,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06475430,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06471361,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06470139,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478186,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06482762,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06472102,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06479486,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06476366,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06470828,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06479356,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06472024,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478381,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06475417,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06481800,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478979,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06471738,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478563,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06472232,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06476223,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06479291,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06479980,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06477523,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06481592,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06473181,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
