nctId,status,phases,description,inclusion_criteria,exclusion_criteria,intervention_type,intervention_name,disease,outcome_measures,outcome_timeframes,durationMonths
NCT06476990,COMPLETED,['NA'],"Food Rx + CHW is a 3-month community health worker led medically tailored grocery intervention for patients with self-reported food insecurity and a diagnosis of type 2 diabetes at one academic medical center in the Midwest United States. Prior to contact and recruitment, eligible patients were randomly assigned to receive 12 weekly food deliveries and support from a CHW (Food + CHW group) or food deliveries only (Food-only group).

All participants receive 12 weekly contactless deliveries of food. CHWs conduct three virtual study visits with participants to administer surveys and/or collect biomarker measurements at weeks 1, 12, and 24. No changes in the frequency of visits with the patient's provider are recommended. Virtual visit 1 involves the completion of study forms, assessment of household size for most meals, cultural preferences, food allergies, baseline cooking and eating habits, and assessment for knowledge and usage of local and/or federal food support programs. At week 12, participants use at home kits and devices (provided by the study) to measure and report their HbA1C, weight and blood pressure and complete post-intervention surveys on diet, knowledge and usage of food access programs and resources, and an anonymous feedback questionnaire on the strengths and opportunities for improvement in the program. At week 24, participants measured and reported their final HbA1C, weight and self-collected blood pressure result.

In addition to food, participants in the Food + CHW group also received 7 weekly virtual sessions with a CHW (four 90-minute ZOOM counseling sessions and three 30 to 60-minute check-in phone calls). CHW sessions included diabetes-appropriate cooking and nutrition education and personalized benefit enrollment and linkage to existing food access resources (for example Supplemental Nutrition Assistance Program, Double up Food Bucks, and Kansas Senior Farmers Market Vouchers).

Each weekly food box contained approximately $8 worth of shelf-stable food items purchased from a local food bank (beans, canned vegetables and no-sugar added fruit, shelf-stable dairy products, canned tuna, and whole grains) and $25 of fresh produce (5-7 items including leafy greens, peppers, potatoes, broccoli, carrots, zucchini, cauliflower, celery, cabbage, asparagus, apples, or strawberries). When seasonably available, fresh vegetables and fruit were sourced from local farmers via a local food hub. When local produce was not available, CHWs sourced produce from grocery stores.","Inclusion Criteria:

* English or Spanish speaking,
* Diagnosis of type 2 diabetes with a most recent HbA1C \> 7,
* Previously answered ""yes"" to the food insecurity needs question (""In the last 12 months, did you ever eat less than you should because there wasn't enough money for food?"") on a SDOH screener during a patient care visit

",":

* Participant address was outside the delivery zone (the Kansas City Metro area),
* Participant resides in a facility that provides all meals.",['BEHAVIORAL'],['Healthy food box'],['Diabetes Type 2'],"['Change from baseline in average blood glucose, as measured by Hemoglobin A1C']","['Baseline, 3 months, 6 months']",11.8
NCT06479902,COMPLETED,['NA'],"This study evaluated the effects of core stabilization exercises and diaphragmatic strengthening on thoracic kyphosis angle, diaphragmatic excursion, chest expansion, lung functioning (FEV1/FVC ratio), and quality of life in individuals with mild intermittent or mild persistent asthma. Thirty-seven participants from Fauji Foundation Hospital Rawalpindi underwent assessments before and after an 18-session treatment regimen over three weeks. The measures included diaphragmatic excursion, thoracic kyphotic angle, chest expansion, spirometry, and asthma quality of life questionnaire. Statistical analysis was performed using SPSS version 21","Inclusion Criteria:

* Age group: 18-34 years old
* Both males and females
* Individuals diagnosed with well controlled mild intermittent asthma or mild persistent asthma, at least six months prior based on referral from pulmonologist.
* Individuals who have weak core muscles
* Participating to the study in a voluntary basis

",":

* Level 3 and above asthmatics or status asthmaticus
* Any congenital deformities of chest wall
* Demonstrated neuromuscular or neurological deficit/disease of chest wall.
* Cardiopulmonary diseases including coronary artery disease, heart failure NYHA classification, valvular heart disease, cardiomyopathy, arrythmias, interstitial lung disease, COPD, pulmonary embolism, pulmonary hypertension, cancers, etc.
* Any recent cardiothoracic or abdominal surgery or sternotomy
* Recent history of the blunt chest wall or abdominal trauma
* Unstable hemodynamic parameters (arterial pressure \>140mmhg systolic and \>90mmhg for diastolic
* Pregnancy
* Previous or parallel participation in interventional programs
* Any psychiatric illnesses","['PROCEDURE', 'PROCEDURE']","['Core stability exercise', 'Diaphragmatic Strengthening Exercise']",['Mild Intermittent Asthma'],"['Thoracic Kyphosis Angle', 'Diaphragmatic Excursion', 'Chest Expansion', 'FEV1/FVC ratio', 'Quality of Life of patient']","['18 days', '18 days', '18 days', '18 days', '18 days']",9.266666666666667
NCT06479525,COMPLETED,['NA'],The main objective of the study is to apply big toe flexor and calf muscles strengthening exercises and to compare the results to identify their influence on medial longitudinal arch in flexible flat foot athletes.,"Inclusion Criteria:

* Age between 18 and 30 years' old
* Both male and female
* Athletes involved in sports with more than one year
* Athletes with asymptomatic flexible flatfoot (NDT \> 10mm) (5)

",":

* Congenital flatfoot
* Athletes using foot orthoses
* Any lower limb muscle injury or trauma in the past 6 months
* Had undergone lower limb surgery
* Had lower extremity deformities: pes cavus, pes equinus, hallux valgus with greater angle than 15°, or clubfoot.(5)
* Had a sign of neurological deficit over the lower extremities.
* Female subjects if they were pregnant.","['OTHER', 'OTHER']","['Big Toe Flexor Strengthening Exercises', 'Calf Strengthening Exercises']",['Sports Physical Therapy'],"['Navicular Drop Test', 'Foot Function Index', 'Arch Height Index', 'Vertical Jump Test', 'Hip and Toe Dynamometer']","['8 weeks', '8 weeks', '8 weeks', '8 weeks', '8 weeks']",5.3
NCT06476522,COMPLETED,['NA'],"Background:

Colon cancer (CC) is the third most diagnosed type of cancer worldwide. The age of onset varies between 50-75 years . Control of risk factors and early detection and its precursors through screening have an important role in reducing the incidence and mortality of CC. This means that the number of people living with and undergoing treatment for CC is growing.

One of the common treatment of CC is chemotherapy. It is known that chemotherapy can cause severe adverse effects that can be highly detrimental to a patient both physiologically and psychologically, thus having a large impact on an individual's quality of life (QoL). The most common and severe of these adverse effects are peripheral neuropathy, neutropenia, nausea, vomiting, diarrhea, and fatigue . In addition, liver and kidney dysfunctions are seen in patients undergoing chemotherapy. Depending on the chemotherapy-related toxicity, side effects such as neutropenia, thrombocytopenia, and anemia occur in patients. For this reason, regular blood tests of the patients during the chemotherapy process and their blood values were followed.

Studies examining the effect of exercise on the side effects of chemotherapy in colon and rectal cancer have found strong evidence for short-term improvements. There are various studies investigating the effects of exercises performed during chemotherapy on QoL, fatigue, and aerobic capacity in patients with CC. However, the duration and content of exercise programs in these studies are quite limited. No study was examined the effects of a home-based physiotherapy and recommendation program during 12-weeks chemotherapy treatment. The aim of this study was to investigate the effect of physiotherapy program on toxicity, muscle strength, balance, and endurance in patients undergoing chemotherapy in patients with CC.","Inclusion Criteria:

* \> 18 years of age,
* diagnosed with stage 2-3 colon cancer
* scheduled to receive adjuvant chemotherapy
* able to read, write and understand Turkish.

",":

* cardiopulmonary disease, nerve, muscle, or joint disease, affecting movement
* malignant tumors
* postoperative heart, cerebral vessel, or other mental
* illness or serious cognitive impairment and defects in language serious complications
* \< 18 kg Body Mess Index","['OTHER', 'OTHER']","['Physiotherapy Program', 'To Inform']","['Colon Cancer', 'Chemotherapy Effect']",['Muscle strength'],['change from baseline at 12 weeks'],2.033333333333333
NCT06478134,COMPLETED,"['PHASE2', 'PHASE3']","The objective of the study is to assess the efficacy and safety of TriMix tear substitute in patients with dry eye disease. For this purpose, a randomized, double-blind clinical trial has been designed, using an Hyaluronic acid-based tear substitute as a control.","Inclusion Criteria:

1. Self-reported history DED while working with computer screens ≥ 6 hours per day.
2. ocular surface disease index (OSDI) \> 13 points.
3. non-invasive tear film break-up time (NIBUT) \< 10 s.
4. Schirmer test (ST) without anesthesia ≥ 5 mm.
5. MGD grade ≤ 1. For MGD, the Sirius device (CSO, Florence, Italy) was used, which determines MGD grade based on loss area of meibomian glands (LAMG). MGD grade was scored from 0 to 4 (MGD grade 1 = LAMG \< 25%; MGD grade 2 = LAMG ≥ 25% and \< 50%; MGD grade 3 = LAMG ≥ 50% and \< 75%; MGD grade 4 = LAMG ≥ 75%).

",":

1. abnormal lid anatomy, including active blepharitis, and active lid margin.
2. all corneal disorders that affect diagnostic test, such as active corneal infection and corneal dystrophies.
3. active ocular allergies.
4. vectored thermal pulsation (VTP) intense pulse light (IPL), quantum molecular resonance (QMR), or other procedure to treat DED within the previous 6 months.
5. intraocular surgery or laser ocular surgery within the previous 6 months.
6. use of topical antibiotics and anti-inflammatory treatments, including steroids and non-steroidal anti-inflammatory drugs.
7. systemic autoimmune diseases.
8. contact lens wearers.
9. pregnant or lactating women.
10. patients who did not understand or comprehend the informed consent.","['DRUG', 'DRUG']","['Trimix tear substitutes', 'Hyaluronic acid tear substitute']",['Dry Eye'],"['Ocular surface disease index questionnaire', 'Non-invasive tear film break-up time', 'Schirmer I test without anesthesia']","['This outcome measure was analyzed at baseline, 3 months and 6 months.', 'This outcome measure was analyzed at baseline, 3 months and 6 months.', 'This outcome measure was analyzed at baseline, 3 months and 6 months.']",6.433333333333334
NCT06470425,COMPLETED,['NA'],"The study ""Optimizing Mental Health Management with AI-Guided (GenAIS TM) Dietary Supplementation"" aimed to compare the effectiveness of AI-guided dietary supplement (DS) prescriptions versus standard physician-guided prescriptions in managing mental health disorders, specifically depression and anxiety. This 6-month randomized controlled trial included 160 participants diagnosed with major depressive disorder or generalized anxiety disorder. Participants were divided into two groups: one received DS based on physician judgment, and the other based on GenAIS AI system analysis. Primary outcomes focused on changes in mental health scores, while secondary outcomes included quality of life, metabolic markers, and DS adherence. Data collection involved genetic, metabolic, and clinical profiling, with ethical considerations ensuring participant confidentiality and informed consent.","Inclusion Criteria:

* Age between 18 and 65 years.
* Diagnosed with major depressive disorder (MDD) or generalized anxiety disorder (GAD) according to DSM-5 criteria.
* Moderate to severe symptoms as indicated by scores on HAM-D (≥17) for depression or GAD-7 (≥10) for anxiety.
* Stable on psychiatric medication for at least 3 months prior to the study.
* Willingness to provide genetic and metabolic data.
* Written informed consent.

",":

* Current or past history of severe psychiatric conditions such as schizophrenia, bipolar disorder, or other psychotic disorders.
* Current substance abuse or dependence within the last 6 months.
* Significant medical conditions like severe renal, hepatic, or cardiovascular diseases.
* Pregnancy or breastfeeding.
* Recent changes in psychiatric medication within the last 3 months.
* Participation in another clinical trial within the last 30 days.","['OTHER', 'OTHER']","['Standard therapy group', 'AI-Guided group']",['Mental Disorder'],"['The primary endpoint is the percent change in mental health scores (Hamilton Depression Rating Scale, Generalized Anxiety Disorder 7-item scale) for the AI-Guided group compared with the Control group.']",['6 months'],3.6
NCT06470464,COMPLETED,['PHASE2'],"Thalidomide (THD) is currently widely used in the treatment of immune rheumatic diseases, blood tumors and solid tumors. Solid tumors are mostly used in the treatment of lung cancer, liver cancer, stomach cancer, colorectal cancer, pancreatic cancer, etc., and are limited to patients with advanced or advanced tumors. The main mechanisms of its action are inhibition of angiogenesis, immune regulation, induction of apoptosis, target teratogenesis and so on. However, whether from animal experiments or clinical studies, thalidomide alone or in combination with chemotherapy has not been seen to have a very effective therapeutic effect or exact clinical application in the treatment of these solid tumors.

According to the latest relevant case analysis reports and clinical trial results abroad, TIP regimen is still the priority recommended treatment regimen in the previous data for children with recurrent and refractory malignant germ cell tumors. However, the combination of Sirolimus and TIC regimen (nab-paclitaxel + isocyclophosphamide + carboplatin) previously explored by our research group can greatly improve the remission rate of recurrent and refractory germinal cell tumors, especially for recurrent and refractory yolk sac tumors, a certain proportion can be cured or the opportunity for surgery and radiotherapy can be obtained to achieve cure. However, there are still some children who are insensitive or progress again after 2 cycles of remission. For these children with multiple relapsed or particularly difficult yolk sac tumors, there is no effective treatment plan in the world at present, and there is no relevant clinical trial. However, through our clinical experience and understanding in the treatment process of these children, The results of thalidomide combined with TGA chemotherapy regimen (nab-paclitaxel + gemcitabine + epirubicin) were satisfactory. Therefore, we hope to evaluate the therapeutic effectiveness and adverse reactions of this regimen through clinical trials, so as to provide an effective treatment option for children with recurrent and refractory yolk sac tumor.

This paper is the first one to report the treatment combining thalidomide with nab-paclitaxel, gemcitabine, and epirubicin (T-TGA) for children with repeated relapsed or refractory yolk sac tumor (rrrYST).","Inclusion Criteria:

1. The child must have histological evidence of an extracranial malignant germ cell tumor (vitelline sac tumor).
2. Children must be no more than 18 years old at the time of study participation.
3. The patients were children with vitelline cystic tumor who were resistant to drugs after at least two platinum-containing chemotherapy regimes or whose disease recurred within 3 months after chemotherapy regimes, or who recurred again or repeatedly after treatment with Sirolimus combined with TIC chemotherapy regimes.
4. The child must have measurable lesions (recorded according to RECIST criteria) or non-evaluable disease with tumor marker AFP greater than 5 times the upper limit of normal.
5. Lansky performance status score ≥50.
6. The life expectancy of the child must exceed 6 weeks.
7. The child must have recovered from the response to all previous anticancer treatments.
8. No serious organ dysfunction: normal cardiac function (ejection fraction \> 50% or BNP \< 2000pg/ml); Liver function: alanine aminotransferase increased less than 5 times the upper limit of normal, bilirubin increased less than 3 times the upper limit of normal; Renal function: creatinine and urea nitrogen levels below the normal range; The white blood cells were greater than 3×109/L, and the platelets were greater than 100×109/L.
9. Obtain the informed consent of the guardian and sign the informed consent.

",":

1. Patients with other tumors.
2. Heart, brain, liver, kidney and other organ failure patients.",['DRUG'],['Thalidomide combined with TGA chemotherapy (nab-paclitaxel + gemcitabine+ epirubicin)'],"['Germ Cell Tumor', 'Yolk Sac Tumor']",['AFP'],['3 weeks'],31.6
NCT06478758,COMPLETED,['PHASE4'],"Ibuprofen is a widely used NSAID that has antipyretic, analgesic, and anti-inflammatory effects. In this study, the investigators compared the effects of IV forms of ibuprofen and acetaminophen on pain perception and opioid consumption following laparoscopic cholecystectomy.The participants in this study were randomized into two groups. Participants in Group I (group ibuprofen, n=35) were administered 800 mg of IV ibuprofen; participants in Group A (group acetaminophen, n=36) were administered 1000 mg of IV acetaminophen. The investigators recorded demographic data including gender, age, ASA, BMI, duration of anesthesia and surgery, poNV, LOS, VAS scores and opioid consumption postoperatively.","Inclusion Criteria:

* ASA grade I-II patients
* Aged 18-65 years

",":

* History of allergies or hypersensitivity to the aforementioned agents
* Renal, hepatic or gastrointestinal disease
* Significant cognitive impairment
* Recent use of long-term nonsteroid anti-inflammatory and opioids
* Oral anticoagulant use or known bleeding disorders
* Diabetes or any other neuropathic diseases
* Pregnancy or breastfeeding","['DRUG', 'DRUG']","['Ibuprofen 400 mg', 'Acetaminophen 100 MG/ML']",['Acute Post-operative Pain'],['VAS scores in the postoperative period'],['24 hour'],2.966666666666667
NCT06479551,COMPLETED,['NA'],"The objective of my study is to compare the effects of high and moderate intensity resistance training on strength, power and muscle soreness in young football players","Inclusion Criteria:

* Male and female players

  * Age 18-24yrs
  * Player with minimum 1-year experience of football
  * Muscle soreness value shouldn't be below normal.
  * Value on Hooper and Mackinnon Questionnaire should be from 1-3.
  * A minimum score of 3-4 in lower extremity functional scale
  * Fatigue shouldn't regress the normal.(45)

",":

* History of lower limb musculoskeletal injuries in last 3months

  * Fracture since last 6months
  * Taking drugs or ergogenic supplement
  * Neurological systems are not intact(dermatomes and myotomes)
  * A minimum score of in lower extremity functional scale.(65, 66)","['OTHER', 'OTHER']","['high intensity-low volume resistance training', 'Moderate intensity-high volume resistance training']",['Sports Physical Therapy'],"['Hooper and Mackinnon Questionnaire', 'Vertical and Horizontal Jump', '1RM, Sprint Test']","['six weeks', 'six weeks', 'six weeks']",5.3
NCT06482619,COMPLETED,['NA'],"Nutrition could play an important role in the rehabilitation from sport injuries. This afirmation is based on studies that analyze the impact of different dietary supplements along immobilization periods, stablishing that creatine, leucine and omega-3 fatty acid supplementation could ameliorate muscle loss, while creatine could potentiate the hypertrophy along the rehabilitation process. For this reason, the aim of this study are to analyze the effect of creatine ingestion in pain, histological properties of the tendon, body composition, strength and vertical jump performance in athletes with patellar tendinopathy that follow a physical rehabilitation program that include eccentric exercise combined with stretching and extracorporeal shock wave therapy.","Inclusion Criteria:

* Athletes diagnosed with patellar tendinopathy by sport medicine doctor.
* Age (\>18 years and \<49 years).
* To be federated in a sport modality that involves high repetitive impact in the knee; iii) to train more than 3 sessions weekly.
* Not having undergone knee surgery.
* Not having undergone any infiltration of analgesics or platelet-rich plasma during the last year.
* Not intake any sport performance supplement in the previous year;
* Smoker person.

",":

* Not being diagnosed with patellar tendinopathy by a doctor
* Age (\<18 years and \> 50 years).
* Involved in a sport modality without high repetitive impacts during sports activity.","['DIETARY_SUPPLEMENT', 'DIETARY_SUPPLEMENT']","['Creatine supplementation', 'Placebo']","['Creatine', 'Patellar Tendinopathy']","['Pain evaluation', 'Tendon thickness.']","['8-weeks', '8-weeks']",32.36666666666667
